"x" "y" "resampled_loss"
"1" 38.2600605909246 14.2853268862146 9
"2" 37.3765611576403 13.7655720070672 9
"3" 37.3660611643755 13.7490718521737 9
"4" 37.7965608882338 13.7378217465644 9
"5" 37.1995612711759 13.7168215494272 9
"6" 37.1883112783921 13.7108214931022 9
"7" 37.0758113505546 13.709321479021 9
"8" 37.433561121078 13.6943213382087 9
"9" 37.4343111205969 13.6943213382087 9
"10" 37.4395611172293 13.6928213241274 9
"11" 37.4403111167482 13.6928213241274 9
"12" 37.1110613279437 13.6905713030056 9
"13" 37.1095613289058 13.6890712889243 9
"14" 37.2558112350947 13.6695711058683 9
"15" 37.2498112389433 13.6688210988277 9
"16" 37.2213112572245 13.6665710777058 9
"17" 37.2220612567434 13.6665710777058 9
"18" 37.2228112562623 13.6665710777058 9
"19" 37.2235612557812 13.6665710777058 9
"20" 37.3090612009378 13.6665710777058 9
"21" 37.2648112293217 13.6628210425028 9
"22" 37.2640612298027 13.6620710354621 9
"23" 37.2648112293217 13.6620710354621 9
"24" 37.3090612009378 13.6590710072997 9
"25" 37.4185611306997 13.6590710072997 9
"26" 37.3090612009378 13.6583210002591 9
"27" 37.3098112004567 13.6583210002591 9
"28" 37.3098112004567 13.6575709932184 9
"29" 37.2010612702137 13.6568209861778 9
"30" 37.2700612259541 13.6538209580154 9
"31" 37.2730612240298 13.6508209298529 9
"32" 37.4988110792238 13.648570908731 9
"33" 38.2240606140165 13.6373208031218 9
"34" 38.2225606149787 13.6350707819999 9
"35" 38.2210606159409 13.6328207608781 9
"36" 37.4688110984671 13.5983204370097 9
"37" 37.4740610950995 13.5833202961974 9
"38" 37.5490610469912 13.5518200004915 9
"39" 37.4793110917319 13.4550690922519 9
"40" 37.4793110917319 13.4543190852113 9
"41" 37.108061329868 13.4430689796021 9
"42" 37.4913110840346 13.4385689373584 9
"43" 37.4943110821103 13.3988185642057 9
"44" 37.7935608901582 13.3808183952309 9
"45" 37.4620611027968 13.3740683318653 9
"46" 37.4613111032779 13.3733183248247 9
"47" 37.3825611537916 13.3193178179003 9
"48" 37.8993108223255 13.3028176630067 9
"49" 37.9000608218444 13.3028176630067 9
"50" 37.8993108223255 13.3020676559661 9
"51" 37.7943108896771 13.2765674165852 9
